,Food name,Measure,Weight,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
0,"Bacon bits, simulated meat",15mL,7.0,34.0,141.0,2.0,2.0,0.0,2.0,0.3,0.4,1.0,0.0,7.0,0.1,126.0,10.0,7.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ketchup,15mL,15.0,15.0,64.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1,169.0,57.0,3.0,5.0,7.0,2586.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mustard,15mL,16.0,11.0,44.0,1.0,1.0,0.0,1.0,0.0,0.4,0.2,0.0,9.0,0.2,180.0,22.0,8.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Olives, pickled, canned or bottled",4,16.0,23.0,97.0,0.0,1.0,0.0,2.0,0.3,1.8,0.2,0.0,8.0,0.1,249.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Olives, ripe, canned, jumbo",2,16.0,13.0,54.0,0.0,1.0,0.0,1.0,0.1,0.8,0.1,0.0,15.0,0.5,144.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Pickle relish, sweet",15mL,15.0,20.0,83.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,123.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Pickles, cucumber, dill",1 medium pickle,65.0,12.0,49.0,0.0,3.0,1.0,0.0,0.0,0.0,0.1,0.0,6.0,0.3,833.0,75.0,7.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Pickles, cucumber, sweet, slices",4,28.0,33.0,137.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,263.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Salsa,15mL,17.0,5.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,100.0,50.0,3.0,5.0,3.0,1758.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cream cheese dip,30mL,30.0,108.0,451.0,2.0,1.0,0.0,11.0,5.8,3.0,1.6,28.0,23.0,0.3,176.0,39.0,2.0,28.0,92.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Onion dip,30mL,31.0,50.0,211.0,1.0,3.0,0.0,4.0,2.5,1.2,0.2,11.0,34.0,0.1,206.0,60.0,4.0,31.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
