Food name,Measure,Weight ,Energy,Energy.1,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Lycopene,Folate,DHA,EPA,Vitamin D,Vitamin B12,Vitamin E,Trans Fat,Vitamin C,Dietary Folate Equivalents,Thiamin,Riboflavin,Niacin,Beta carotene,Caffeine,Alcohol,Total Daietary Fibre,Total Dietary Fibre,Folate ,Trans fats,Monounsaturated fat,Polyunsaturated fat,Protei, Folate
"Bacon bits, simulated meat",15mL,7,34.0,141.0,2,2,0,2,0.3,0.4,1.0,0,7,0.1,126.0,10.0,7.0,15,0,0,9,,,,,,,,,,,,,,,,,,,,,,
Ketchup,15mL,15,15.0,64.0,tr,4,3,tr,tr,tr,tr,0,3,0.1,169.0,57.0,3.0,5,7,2586,2,,,,,,,,,,,,,,,,,,,,,,
Mustard,15mL,16,11.0,44.0,1,1,tr,1,tr,0.4,0.2,0,9,0.2,180.0,22.0,8.0,17,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"Olives, pickled, canned or bottled",4,16,23.0,97.0,tr,1,tr,2,0.3,1.8,0.2,0,8,0.1,249.0,7.0,2.0,1,3,0,tr,,,,,,,,,,,,,,,,,,,,,,
"Olives, ripe, canned, jumbo",2,16,13.0,54.0,tr,1,0,1,0.1,0.8,0.1,0,15,0.5,144.0,1.0,1.0,tr,3,0,0,,,,,,,,,,,,,,,,,,,,,,
"Pickle relish, sweet",15mL,15,20.0,83.0,tr,5,2,tr,tr,tr,tr,0,tr,0.1,123.0,4.0,1.0,2,1,0,tr,,,,,,,,,,,,,,,,,,,,,,
"Pickles, cucumber, dill",1 medium pickle,65,12.0,49.0,tr,3,1,tr,tr,tr,0.1,0,6,0.3,833.0,75.0,7.0,14,6,0,1,,,,,,,,,,,,,,,,,,,,,,
"Pickles, cucumber, sweet, slices",4,28,33.0,137.0,tr,9,5,tr,tr,tr,tr,0,1,0.2,263.0,9.0,1.0,3,3,0,tr,,,,,,,,,,,,,,,,,,,,,,
Salsa,15mL,17,5.0,19.0,tr,1,1,tr,tr,tr,tr,0,5,0.1,100.0,50.0,3.0,5,3,1758,1,,,,,,,,,,,,,,,,,,,,,,
Cream cheese dip,30mL,30,108.0,451.0,2,1,tr,11,5.8,3.0,1.6,28,23,0.3,176.0,39.0,2.0,28,92,0,4,,,,,,,,,,,,,,,,,,,,,,
Onion dip,30mL,31,50.0,211.0,1,3,tr,4,2.5,1.2,0.2,11,34,0.1,206.0,60.0,4.0,31,33,0,3,,,,,,,,,,,,,,,,,,,,,,
Spinach dip,30mL,30,74.0,309.0,1,2,tr,7,1.6,1.9,3.3,6,26,0.3,84.0,57.0,8.0,17,75,tr,15,,,,,,,,,,,,,,,,,,,,,,
"Gravy, beef, canned",60mL,59,31.0,131.0,2,3,tr,1,0.7,0.6,tr,2,4,0.4,331.0,48.0,1.0,18,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"Gravy, beef, dehydrated, prepared with water",60mL,65,20.0,85.0,1,3,0,1,0.2,0.2,tr,tr,9,0.1,271.0,15.0,2.0,11,tr,0,2,,,,,,,,,,,,,,,,,,,,,,
"Gravy, chicken, canned",60mL,60,48.0,199.0,1,3,tr,3,0.9,1.5,0.9,1,12,0.3,348.0,66.0,1.0,18,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"Gravy, chicken, dehydrated, prepared with water",60mL,66,22.0,93.0,1,4,0,1,0.2,0.3,0.1,1,10,0.1,244.0,24.0,3.0,15,2,0,8,,,,,,,,,,,,,,,,,,,,,,
"Gravy, turkey, canned",60mL,61,31.0,130.0,2,3,tr,1,0.4,0.6,0.3,1,2,0.4,353.0,67.0,1.0,18,0,0,1,,,,,,,,,,,,,,,,,,,,,,
"Gravy, unspecified, dehydrated, prepared with water",60mL,66,22.0,91.0,1,4,0,1,0.2,0.2,0.1,tr,11,0.1,362.0,16.0,3.0,13,0,0,3,,,,,,,,,,,,,,,,,,,,,,
"Sauce, barbecue",15mL,16,12.0,50.0,tr,2,4,tr,tr,0.1,0.1,0,3,0.1,129.0,28.0,3.0,3,tr,68,1,,,,,,,,,,,,,,,,,,,,,,
"Sauce, cheese, dehydrated, prepared with 2% milk",60mL,71,81.0,337.0,5,7,6,4,2.1,1.3,0.4,11,163,0.1,445.0,158.0,12.0,127,45,0,4,,,,,,,,,,,,,,,,,,,,,,
"Sauce, cranberry, canned, sweetened",60mL,70,106.0,443.0,tr,27,27,tr,tr,tr,tr,0,3,0.2,20.0,18.0,2.0,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,
"Sauce, nacho cheese, ready-to-serve",60mL,64,121.0,505.0,5,3,0,10,4.3,3.1,2.1,20,120,0.2,499.0,20.0,6.0,107,66,,3,,,,,,,,,,,,,,,,,,,,,,
"Sauce, soy",15mL,18,7.0,30.0,tr,1,tr,tr,tr,tr,tr,0,1,0.3,1038.0,28.0,1.0,17,0,0,2,,,,,,,,,,,,,,,,,,,,,,
"Sauce, steak (HPTM, A1TM)",15mL,15,9.0,39.0,tr,2,,tr,tr,tr,tr,0,4,0.2,218.0,60.0,2.0,6,7,,1,,,,,,,,,,,,,,,,,,,,,,
"Sauce, sweet and sour",15mL,17,20.0,85.0,tr,4,3,tr,0.1,0.1,0.2,0,3,0.1,59.0,11.0,1.0,2,1,,tr,,,,,,,,,,,,,,,,,,,,,,
"Sauce, teriyaki",15mL,18,15.0,64.0,1,3,2,0,0,0,0,0,5,0.3,700.0,41.0,11.0,28,0,0,4,,,,,,,,,,,,,,,,,,,,,,
"Sauce, white, medium, homemade with 2% milk",60mL,61,89.0,374.0,2,6,3,6,1.7,2.7,1.7,4,72,0.2,215.0,95.0,9.0,60,55,0,6,,,,,,,,,,,,,,,,,,,,,,
"Anchovies, canned in oil, drained solids",2,8,17.0,70.0,2,0,,1,0.2,,0.2,7.0,19,0.4,293.0,44.0,,20.0,1.0,,,0.1,0.06,0.1,0.07,0.3,,,,,,,,,,,,,,,,,
